[07Dec2024 00:01:18.204] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Creative Mode]
[07Dec2024 00:03:25.042] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Survival Mode]
[07Dec2024 00:05:05.652] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Creative Mode]
[07Dec2024 00:07:10.807] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Survival Mode]
[07Dec2024 00:08:47.130] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Creative Mode]
[07Dec2024 00:13:10.690] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Survival Mode]
[07Dec2024 00:30:20.839] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Creative Mode]
[07Dec2024 00:31:05.313] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Survival Mode]
[07Dec2024 00:31:47.135] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Creative Mode]
[07Dec2024 00:33:38.419] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Alex115KLK: Set own game mode to Survival Mode]
[07Dec2024 00:35:12.923] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-89, y=20, z=155} BlockPos{x=-87, y=20, z=155}
[07Dec2024 00:54:02.965] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-121, y=17, z=35} BlockPos{x=-122, y=17, z=34}
[07Dec2024 00:54:03.033] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-121, y=17, z=35} BlockPos{x=-122, y=17, z=34}
[07Dec2024 00:58:54.994] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-136, y=17, z=42} BlockPos{x=-136, y=17, z=44}
[07Dec2024 00:59:15.791] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-168, y=17, z=54} BlockPos{x=-166, y=17, z=56}
[07Dec2024 00:59:34.791] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-182, y=16, z=56} BlockPos{x=-175, y=16, z=67}
[07Dec2024 00:59:34.842] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-175, y=15, z=67} BlockPos{x=-175, y=16, z=67}
[07Dec2024 00:59:42.146] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-187, y=16, z=72} BlockPos{x=-186, y=15, z=73}
[07Dec2024 00:59:42.197] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-187, y=16, z=72} BlockPos{x=-186, y=15, z=73}
[07Dec2024 00:59:42.246] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-187, y=16, z=72} BlockPos{x=-186, y=15, z=73}
[07Dec2024 00:59:42.299] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-187, y=16, z=72} BlockPos{x=-186, y=15, z=73}
[07Dec2024 00:59:42.346] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-187, y=16, z=70} BlockPos{x=-186, y=15, z=73}
[07Dec2024 00:59:42.398] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-187, y=16, z=70} BlockPos{x=-186, y=15, z=73}
[07Dec2024 00:59:42.446] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-187, y=16, z=69} BlockPos{x=-186, y=15, z=73}
[07Dec2024 01:00:40.945] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-182, y=15, z=105} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:40.987] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-182, y=15, z=105} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:41.038] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-182, y=15, z=103} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:41.087] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-182, y=15, z=103} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:41.136] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-183, y=14, z=103} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:41.186] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-183, y=14, z=103} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:41.237] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-183, y=14, z=103} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:41.287] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-184, y=15, z=102} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:41.336] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-184, y=15, z=102} BlockPos{x=-180, y=15, z=108}
[07Dec2024 01:00:54.139] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-197, y=15, z=124} BlockPos{x=-199, y=15, z=125}
[07Dec2024 01:00:54.189] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-197, y=15, z=124} BlockPos{x=-199, y=15, z=125}
[07Dec2024 01:00:54.240] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-196, y=15, z=125} BlockPos{x=-199, y=15, z=125}
[07Dec2024 01:00:54.306] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-196, y=15, z=125} BlockPos{x=-199, y=15, z=125}
[07Dec2024 01:00:54.340] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-196, y=15, z=125} BlockPos{x=-199, y=15, z=125}
[07Dec2024 01:00:54.387] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-196, y=15, z=125} BlockPos{x=-199, y=15, z=125}
[07Dec2024 01:00:59.937] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-213, y=15, z=127} BlockPos{x=-211, y=15, z=129}
[07Dec2024 01:00:59.994] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-213, y=15, z=127} BlockPos{x=-211, y=15, z=129}
[07Dec2024 01:01:00.045] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-214, y=15, z=126} BlockPos{x=-211, y=15, z=129}
[07Dec2024 01:01:00.092] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-214, y=15, z=126} BlockPos{x=-211, y=15, z=129}
[07Dec2024 01:01:00.146] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-214, y=15, z=126} BlockPos{x=-211, y=15, z=129}
[07Dec2024 01:01:15.441] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-220, y=15, z=130} BlockPos{x=-217, y=15, z=129}
[07Dec2024 01:01:15.489] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-220, y=15, z=130} BlockPos{x=-217, y=15, z=129}
[07Dec2024 01:01:15.538] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-220, y=15, z=130} BlockPos{x=-217, y=15, z=129}
[07Dec2024 01:01:15.585] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-219, y=15, z=131} BlockPos{x=-217, y=15, z=129}
[07Dec2024 01:01:15.639] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-219, y=15, z=131} BlockPos{x=-217, y=15, z=129}
[07Dec2024 01:01:15.687] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-220, y=15, z=132} BlockPos{x=-217, y=15, z=129}
[07Dec2024 01:01:15.737] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-220, y=15, z=132} BlockPos{x=-217, y=15, z=129}
[07Dec2024 01:01:25.839] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-225, y=15, z=143} BlockPos{x=-223, y=15, z=143}
[07Dec2024 01:01:53.590] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-240, y=17, z=188} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.640] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-240, y=17, z=188} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.689] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-240, y=17, z=190} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.746] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-240, y=17, z=190} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.790] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-240, y=17, z=190} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.840] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-238, y=17, z=189} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.887] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-238, y=17, z=189} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.939] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-238, y=17, z=189} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:01:53.988] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-238, y=17, z=189} BlockPos{x=-242, y=17, z=188}
[07Dec2024 01:03:01.833] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-203, y=17, z=244} BlockPos{x=-201, y=17, z=247}
[07Dec2024 01:03:01.888] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-203, y=17, z=244} BlockPos{x=-201, y=17, z=247}
[07Dec2024 01:03:01.935] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-203, y=17, z=244} BlockPos{x=-201, y=17, z=247}
[07Dec2024 01:03:01.988] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-203, y=17, z=242} BlockPos{x=-201, y=17, z=247}
[07Dec2024 01:03:02.037] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-203, y=17, z=242} BlockPos{x=-201, y=17, z=247}
[07Dec2024 01:03:02.090] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-203, y=17, z=242} BlockPos{x=-201, y=17, z=247}
[07Dec2024 01:03:06.836] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-204, y=16, z=232} BlockPos{x=-207, y=17, z=233}
[07Dec2024 01:06:48.022] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Alex115KLK has made the advancement [The Basis of Nether Power]
[07Dec2024 01:07:42.430] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Alex115KLK has made the advancement [Better Than Mending]
